RegionType,Name,2008_Avg,2009_Avg,2010_Avg,2011_Avg,2012_Avg,2013_Avg,2014_Avg,2015_Avg,2016_Avg,2017_Avg,2018_Avg,2019_Avg,2020_Avg,2021_Avg
MetroArea,"Akron, OH",4.983333333,6.65,6.641666667,6.041666667,6.408333333,5.683333333,4.566666667,4,3.4,3.15,2.841666667,2.983333333,2.158333333,1.7
MetroArea,"Albany-Schenectady-Troy, NY",4.041666667,5.333333333,5.933333333,5.966666667,6.4,5.383333333,4.958333333,4.625,3.833333333,3.241666667,3.141666667,2.8,2.225,1.7
MetroArea,"Albuquerque, NM",4.458333333,6.55,7.008333333,6.633333333,6.95,5.766666667,4.625,4.241666667,3.966666667,3.633333333,3.1,2.858333333,1.975,1.366666667
MetroArea,"Allentown-Bethlehem-Easton, PA-NJ",4.741666667,6.941666667,7.7,7.716666667,7.908333333,7.508333333,6.175,5.608333333,4.825,4.575,4.233333333,3.966666667,2.458333333,1.766666667
MetroArea,"Amarillo, TX",5.641666667,6.275,6.525,5.625,5.666666667,5.183333333,4.1,3.683333333,3.825,3.95,3.483333333,3.391666667,2.491666667,1.633333333
MetroArea,"Anchorage, AK",3.3,4.508333333,4.625,4.058333333,4,3.316666667,2.791666667,2.525,2.475,2.35,2.508333333,2.2,1.691666667,1.233333333
MetroArea,"Ann Arbor, MI",3.866666667,5.125,5.058333333,4.558333333,4.05,3.283333333,2.891666667,2.108333333,1.816666667,1.608333333,1.658333333,1.841666667,1.15,0.8
MetroArea,"Appleton, WI",2.208333333,3.375,3,2.45,2.858333333,2.808333333,2.425,2.216666667,2.05,1.775,1.508333333,1.341666667,0.891666667,0.8
MetroArea,"Asheville, NC",4.066666667,6.216666667,6.975,6.216666667,6.258333333,5.35,4.191666667,3.9,3.466666667,3.091666667,2.625,2.466666667,1.858333333,1.333333333
MetroArea,"Athens-Clarke County, GA",4.733333333,6.775,7.558333333,6.616666667,5.775,4.616666667,3.95,2.608333333,2.583333333,2.433333333,2.491666667,2.075,1.316666667,1.166666667
MetroArea,"Atlanta-Sandy Springs-Roswell, GA",7.516666667,10.46666667,11.28333333,9.666666667,9.108333333,7.241666667,5.633333333,4.8,4.208333333,3.583333333,3.4,3.275,2.05,1.3
MetroArea,"Atlantic City-Hammonton, NJ",5.575,9.733333333,10.19166667,11.54166667,12.48333333,11.13333333,9.866666667,8.841666667,8.1,6.166666667,5.425,4.958333333,3.541666667,2.466666667
MetroArea,"Auburn-Opelika, AL",5.633333333,7.2,6.825,5.791666667,6.516666667,5.691666667,4.441666667,4.391666667,3.783333333,3.233333333,3.125,2.883333333,1.641666667,0.666666667
MetroArea,"Augusta-Richmond County, GA-SC",6.3,7.5,7.658333333,7.058333333,7.216666667,6.55,5.758333333,5.008333333,4.691666667,4.383333333,3.916666667,3.9,2.366666667,2
